FCFS Simulation Log
Date: Tue Dec  9 06:18:32 2025
Time Limit: 1000 ms
Books: 71, Members: 20
Action 132: AT=51.00 ms, Type=APPROVE
Action 133: AT=51.00 ms, Type=RETURN
Action 134: AT=51.80 ms, Type=REQUEST
Action 135: AT=51.80 ms, Type=ISSUE
Action 136: AT=52.50 ms, Type=RETURN
Action 137: AT=52.50 ms, Type=ISSUE
Action 138: AT=52.50 ms, Type=APPROVE
Action 139: AT=53.10 ms, Type=APPROVE
Action 140: AT=53.80 ms, Type=ISSUE
Action 141: AT=53.80 ms, Type=REQUEST
Action 142: AT=54.70 ms, Type=REQUEST
Action 143: AT=55.70 ms, Type=RETURN
Action 144: AT=55.70 ms, Type=RETURN
Action 145: AT=55.70 ms, Type=ISSUE
Action 146: AT=56.70 ms, Type=APPROVE
Action 147: AT=56.70 ms, Type=RETURN
Action 148: AT=56.70 ms, Type=APPROVE
Action 149: AT=57.50 ms, Type=REQUEST
Action 150: AT=57.50 ms, Type=ISSUE
Action 151: AT=57.50 ms, Type=REQUEST
Action 152: AT=58.00 ms, Type=ISSUE
Action 153: AT=58.00 ms, Type=ISSUE
Action 154: AT=58.00 ms, Type=RETURN
Action 155: AT=59.00 ms, Type=ISSUE
Action 156: AT=59.70 ms, Type=ISSUE
Action 157: AT=60.20 ms, Type=ISSUE
Action 158: AT=60.20 ms, Type=RETURN
Action 159: AT=60.80 ms, Type=APPROVE
Action 160: AT=61.50 ms, Type=RETURN
Action 161: AT=62.30 ms, Type=APPROVE
Action 162: AT=62.30 ms, Type=APPROVE
Action 163: AT=63.00 ms, Type=RETURN
Action 164: AT=63.80 ms, Type=ISSUE
Action 165: AT=63.80 ms, Type=RETURN
Action 166: AT=63.80 ms, Type=REQUEST
Action 167: AT=64.60 ms, Type=APPROVE
Action 168: AT=64.60 ms, Type=RETURN
Action 169: AT=65.50 ms, Type=RETURN
Action 170: AT=65.50 ms, Type=REQUEST
Action 171: AT=66.30 ms, Type=RETURN
Action 172: AT=66.30 ms, Type=RETURN
Action 173: AT=66.30 ms, Type=ISSUE
Action 174: AT=66.90 ms, Type=REQUEST
Action 175: AT=66.90 ms, Type=REQUEST
Action 176: AT=66.90 ms, Type=RETURN
Action 177: AT=67.60 ms, Type=REQUEST
Action 178: AT=67.60 ms, Type=RETURN
Action 179: AT=67.60 ms, Type=ISSUE
Action 180: AT=68.30 ms, Type=ISSUE
Action 181: AT=69.30 ms, Type=RETURN
Action 182: AT=69.30 ms, Type=APPROVE
Action 183: AT=69.30 ms, Type=ISSUE
Action 184: AT=69.80 ms, Type=RETURN
Action 185: AT=69.80 ms, Type=ISSUE
Action 186: AT=70.80 ms, Type=REQUEST
Action 187: AT=71.40 ms, Type=APPROVE
Action 188: AT=71.40 ms, Type=ISSUE
Action 189: AT=71.40 ms, Type=RETURN
Action 190: AT=71.90 ms, Type=ISSUE
Action 191: AT=72.90 ms, Type=RETURN
Action 192: AT=73.40 ms, Type=REQUEST
Action 193: AT=73.40 ms, Type=RETURN
Action 194: AT=74.30 ms, Type=APPROVE
